Source,Destination,Cost,Capacity
F3,T2,2299,353
F4,T2,731,353
F5,T2,1176,353
F6,T2,1046,353
F7,T2,1721,353
F8,T2,710,353
F9,T2,1432,353
F10,T2,741,353
F11,T2,758,353
F12,T2,2304,353
F1,T3,1170,353
F2,T3,1888,353
F3,T3,2719,353
F4,T3,1495,353
F5,T3,2098,353
F6,T3,2244,353
F7,T3,1495,353
F8,T3,2008,353
F9,T3,752,353
F10,T3,2648,353
F11,T3,931,353
F12,T3,1112,353
F1,T4,2335,353
F2,T4,1621,308
F3,T4,2269,308
F4,T4,1411,308
F5,T4,1128,308
F6,T4,585,308
F7,T4,2049,308
F8,T4,1488,308
F9,T4,1539,308
F10,T4,1903,308
F11,T4,636,308
F12,T4,1226,308
F1,T5,2278,308
F2,T5,2102,308
F3,T5,788,308
F4,T5,799,308
F5,T5,712,308
F6,T5,517,308
F7,T5,1473,308
F8,T5,2008,308
F9,T5,2163,308
F10,T5,1722,308
F11,T5,750,308
F12,T5,1953,308
F1,T6,791,308
F2,T6,809,308
F3,T6,726,308
F4,T6,826,308
F5,T6,887,308
F6,T6,951,308
F7,T6,1230,308
F8,T6,1228,308
F9,T6,1000,308
F10,T6,1077,308
F11,T6,2554,308
F12,T6,2118,308
F1,T7,1778,308
F2,T7,924,308
F3,T7,987,524
F4,T7,677,524
F5,T7,2602,524
F6,T7,2126,524
F7,T7,1783,524
F8,T7,1221,524
F9,T7,882,524
F10,T7,1932,524
F11,T7,2773,524
F12,T7,892,524
F1,T8,1093,524
F2,T8,1413,524
F3,T8,670,524
F4,T8,2074,524
F5,T8,1425,524
F6,T8,2761,524
F7,T8,1425,524
F8,T8,1928,524
F9,T8,855,524
F10,T8,1377,524
F11,T8,870,524
F12,T8,2244,524
F1,T9,2504,524
F2,T9,1307,524
F3,T9,2077,524
F4,T9,1176,524
F5,T9,1720,524
F6,T9,2415,524
F7,T9,1874,524
F8,T9,1271,524
F9,T9,1188,524
F10,T9,1541,524
F11,T9,1472,524
F12,T9,1327,524
F1,T10,1784,524
F2,T10,2208,524
F3,T10,1476,524
F4,T10,1487,420
F5,T10,787,420
F6,T10,556,420
F7,T10,1167,420
F8,T10,1230,420
F9,T10,2004,420
F10,T10,2701,420
F11,T10,2653,420
F12,T10,1553,420
F1,T11,1053,420
F2,T11,2257,420
F3,T11,2247,420
F4,T11,2204,420
F5,T11,2211,420
F6,T11,743,420
F7,T11,2068,420
F8,T11,1565,420
F9,T11,988,420
F10,T11,726,420
F11,T11,2395,420
F12,T11,902,420
F1,T12,876,420
F2,T12,2032,420
F3,T12,2557,420
F4,T12,1688,420
F5,T12,2116,420
F6,T12,853,420
F7,T12,2693,420
F8,T12,1744,420
F9,T12,2064,420
F10,T12,584,420
F11,T12,2361,420
F12,T12,2222,420
F1,T13,776,420
F2,T13,1708,420
F3,T13,1249,420
F4,T13,1757,420
F5,T13,1417,676
F6,T13,1455,676
F7,T13,915,676
F8,T13,1087,676
F9,T13,547,676
F10,T13,2625,676
F11,T13,2004,676
F12,T13,2645,676
F1,T14,876,676
F2,T14,2619,676
F3,T14,2328,676
F4,T14,1828,676
F5,T14,1512,676
F6,T14,1092,676
F7,T14,2230,676
F8,T14,1026,676
F9,T14,647,676
F10,T14,2265,676
F11,T14,2044,676
F12,T14,2145,676
F1,T15,1977,676
F2,T15,1464,676
F3,T15,1399,676
F4,T15,2377,676
F5,T15,1230,676
F6,T15,2374,676
F7,T15,2315,676
F8,T15,2461,676
F9,T15,1663,676
F10,T15,1962,676
F11,T15,2688,676
F12,T15,1521,676
F1,T16,638,676
F2,T16,2494,676
F3,T16,1952,676
F4,T16,1317,676
F5,T16,2794,676
F6,T16,1015,693
F7,T16,2001,693
F8,T16,1892,693
F9,T16,1391,693
F10,T16,827,693
F11,T16,557,693
F12,T16,1468,693
F1,T17,923,693
F2,T17,2170,693
F3,T17,1352,693
F4,T17,2436,693
F5,T17,2189,693
F6,T17,1813,693
F7,T17,906,693
F8,T17,2702,693
F9,T17,1110,693
F10,T17,2627,693
F11,T17,1014,693
F12,T17,1359,693
F1,T18,701,693
F2,T18,1972,693
F3,T18,915,693
F4,T18,603,693
F5,T18,2164,693
F6,T18,1299,693
F7,T18,2020,693
F8,T18,1383,693
F9,T18,1943,693
F10,T18,549,693
F11,T18,2595,693
F12,T18,2342,693
F1,T19,2216,693
F2,T19,2370,693
F3,T19,1381,693
F4,T19,1920,693
F5,T19,1824,693
F6,T19,1719,693
F7,T19,1132,414
F8,T19,1072,414
F9,T19,1539,414
F10,T19,1023,414
F11,T19,2351,414
F12,T19,2769,414
F1,T20,569,414
F2,T20,1732,414
F3,T20,700,414
F4,T20,2345,414
F5,T20,2776,414
F6,T20,654,414
F7,T20,2661,414
F8,T20,541,414
F9,T20,2073,414
F10,T20,2303,414
F11,T20,1729,414
F12,T20,2537,414
F1,T21,2568,414
F2,T21,1940,414
F3,T21,817,414
F4,T21,1001,414
F5,T21,919,414
F6,T21,596,414
F7,T21,746,414
F8,T21,1918,414
F9,T21,2662,414
F10,T21,1315,414
F11,T21,1444,414
F12,T21,2764,414
F1,T22,2675,414
F2,T22,2056,414
F3,T22,2774,414
F4,T22,2264,414
F5,T22,1274,414
F6,T22,2024,414
F7,T22,1061,414
F8,T22,1179,621
F9,T22,2065,621
F10,T22,1714,621
F11,T22,1447,621
F12,T22,1886,621
F1,T23,2226,621
F2,T23,1842,621
F3,T23,1769,621
F4,T23,1842,621
F5,T23,1677,621
F6,T23,690,621
F7,T23,2155,621
F8,T23,2792,621
F9,T23,1315,621
F10,T23,2734,621
F11,T23,1297,621
F12,T23,2539,621
F1,T24,1546,621
F2,T24,1451,621
F3,T24,1001,621
F4,T24,789,621
F5,T24,1210,621
F6,T24,2170,621
F7,T24,2301,621
F8,T24,2096,621
F9,T24,522,621
F10,T24,2440,621
F11,T24,2622,621
F12,T24,2273,621
F1,T25,598,621
F2,T25,1370,621
F3,T25,2120,621
F4,T25,2178,621
F5,T25,1016,621
F6,T25,1119,621
F7,T25,2048,621
F8,T25,1598,621
F9,T25,1935,659
F10,T25,1044,659
F11,T25,907,659
F12,T25,2409,659
F1,T26,2264,659
F2,T26,2650,659
F3,T26,748,659
F4,T26,919,659
F5,T26,728,659
F6,T26,1626,659
F7,T26,944,659
F8,T26,2561,659
F9,T26,728,659
F10,T26,601,659
F11,T26,1782,659
F12,T26,2277,659
F1,T27,1217,659
F2,T27,911,659
F3,T27,1279,659
F4,T27,983,659
F5,T27,1673,659
F6,T27,2585,659
F7,T27,1947,659
F8,T27,733,659
F9,T27,1399,659
F10,T27,625,659
F11,T27,1653,659
F12,T27,1493,659
F1,T28,2795,659
F2,T28,2367,659
F3,T28,1617,659
F4,T28,2558,659
F5,T28,816,659
F6,T28,1397,659
F7,T28,2633,659
F8,T28,2611,659
F9,T28,2141,659
F10,T28,1922,539
F11,T28,1289,539
F12,T28,2653,539
F1,T29,787,539
F2,T29,2181,539
F3,T29,1987,539
F4,T29,2417,539
F5,T29,1416,539
F6,T29,2225,539
F7,T29,2421,539
F8,T29,1241,539
F9,T29,1770,539
F10,T29,2752,539
F11,T29,1763,539
F12,T29,1260,539
F1,T30,1925,539
F2,T30,1329,539
F3,T30,2240,539
F4,T30,1452,539
F5,T30,1632,539
F6,T30,2098,539
F7,T30,2738,539
F8,T30,1254,539
F9,T30,2427,539
F10,T30,2200,539
F11,T30,2695,539
F12,T30,573,539
F1,T31,1321,539
F2,T31,2024,539
F3,T31,1147,539
F4,T31,1030,539
F5,T31,2136,539
F6,T31,1937,539
F7,T31,1858,539
F8,T31,2019,539
F9,T31,609,539
F10,T31,1302,539
F11,T31,1538,654
F12,T31,1054,654
F1,T32,2145,654
F2,T32,2470,654
F3,T32,1147,654
F4,T32,2182,654
F5,T32,816,654
F6,T32,2425,654
F7,T32,818,654
F8,T32,1853,654
F9,T32,1342,654
F10,T32,2356,654
F11,T32,1659,654
F12,T32,1626,654
F1,T33,2518,654
F2,T33,1312,654
F3,T33,1534,654
F4,T33,2717,654
F5,T33,597,654
F6,T33,2738,654
F7,T33,935,654
F8,T33,2035,654
F9,T33,1849,654
F10,T33,2053,654
F11,T33,1330,654
F12,T33,1927,654
F1,T34,2366,654
F2,T34,544,654
F3,T34,692,654
F4,T34,2743,654
F5,T34,1998,654
F6,T34,1032,654
F7,T34,1428,654
F8,T34,780,654
F9,T34,1117,654
F10,T34,1093,654
F11,T34,1263,654
F12,T34,850,678
F1,T35,1300,678
F2,T35,779,678
F3,T35,2534,678
F4,T35,716,678
F5,T35,2640,678
F6,T35,1418,678
F7,T35,609,678
F8,T35,1287,678
F9,T35,2193,678
F10,T35,2328,678
F11,T35,1753,678
F12,T35,2079,678
F1,T36,2556,678
F2,T36,626,678
F3,T36,1198,678
F4,T36,606,678
F5,T36,949,678
F6,T36,2157,678
F7,T36,2160,678
F8,T36,2519,678
F9,T36,1840,678
F10,T36,662,678
F11,T36,2623,678
F12,T36,2341,678
F1,T37,1157,678
F2,T37,1750,678
F3,T37,2765,678
F4,T37,2146,678
F5,T37,2430,678
F6,T37,1496,678
F7,T37,1582,678
F8,T37,1790,678
F9,T37,1119,678
F10,T37,2223,678
F11,T37,1659,678
F12,T37,1988,678
